"type","post_published","likes_count_fb","comments_count_fb","shares_count_fb","date"
"link","2017-04-30",144,324,130,2017-04-30
"link","2017-04-29",76,124,16,2017-04-29
"video","2017-04-29",1239,489,411,2017-04-29
"link","2017-04-29",2310,697,391,2017-04-29
"video","2017-04-29",602,363,161,2017-04-29
"link","2017-04-28",128,287,18,2017-04-28
"link","2017-04-28",219,100,48,2017-04-28
"link","2017-04-28",1090,180,267,2017-04-28
"photo","2017-04-28",387,114,63,2017-04-28
"video","2017-04-28",1022,294,439,2017-04-28
"link","2017-04-27",118,178,22,2017-04-27
"photo","2017-04-27",452,261,60,2017-04-27
"video","2017-04-27",819,169,396,2017-04-27
"video","2017-04-27",374,228,231,2017-04-27
"video","2017-04-27",1731,961,686,2017-04-27
"photo","2017-04-27",384,227,136,2017-04-27
"link","2017-04-26",156,148,30,2017-04-26
"photo","2017-04-26",380,202,168,2017-04-26
"photo","2017-04-26",602,287,239,2017-04-26
"photo","2017-04-26",592,198,88,2017-04-26
"video","2017-04-26",1241,473,937,2017-04-26
"photo","2017-04-26",357,162,29,2017-04-26
"photo","2017-04-25",1529,425,537,2017-04-25
"video","2017-04-25",1189,497,644,2017-04-25
"link","2017-04-25",383,247,89,2017-04-25
"video","2017-04-25",569,523,478,2017-04-25
"link","2017-04-24",256,312,51,2017-04-24
"video","2017-04-24",895,167,254,2017-04-24
"photo","2017-04-24",658,205,263,2017-04-24
"link","2017-04-24",1427,610,0,2017-04-24
"link","2017-04-23",97,127,18,2017-04-23
"link","2017-04-22",338,342,76,2017-04-22
"link","2017-04-22",656,350,264,2017-04-22
"link","2017-04-22",90,77,4,2017-04-22
"link","2017-04-21",68,126,14,2017-04-21
"video","2017-04-21",777,505,433,2017-04-21
"link","2017-04-21",947,423,381,2017-04-21
"video","2017-04-20",1784,738,288,2017-04-20
"photo","2017-04-20",259,99,17,2017-04-20
"link","2017-04-20",1382,582,0,2017-04-20
"link","2017-04-19",285,180,89,2017-04-19
"photo","2017-04-19",432,250,70,2017-04-19
"link","2017-04-19",93,46,9,2017-04-19
"link","2017-04-19",634,193,258,2017-04-19
"video","2017-04-19",2056,708,748,2017-04-19
"photo","2017-04-19",1611,331,0,2017-04-19
"video","2017-04-19",2901,879,782,2017-04-19
"video","2017-04-19",2010,1238,451,2017-04-19
"video","2017-04-18",2299,896,0,2017-04-18
"link","2017-04-18",505,1600,97,2017-04-18
"link","2017-04-18",747,340,207,2017-04-18
"photo","2017-04-18",547,159,133,2017-04-18
"link","2017-04-18",665,199,73,2017-04-18
"link","2017-04-18",23,11,7,2017-04-18
"link","2017-04-17",15,26,9,2017-04-17
"link","2017-04-17",161,116,114,2017-04-17
"link","2017-04-17",324,278,180,2017-04-17
"link","2017-04-17",24,12,20,2017-04-17
"video","2017-04-17",392,117,150,2017-04-17
"video","2017-04-17",587,503,250,2017-04-17
"link","2017-04-17",614,421,0,2017-04-17
"link","2017-04-17",645,266,58,2017-04-17
"link","2017-04-16",25,45,14,2017-04-16
"link","2017-04-16",664,568,477,2017-04-16
"link","2017-04-15",17,40,23,2017-04-15
"link","2017-04-15",554,293,153,2017-04-15
"link","2017-04-15",544,174,131,2017-04-15
"link","2017-04-14",33,20,22,2017-04-14
"link","2017-04-14",385,64,63,2017-04-14
"link","2017-04-14",112,29,14,2017-04-14
"photo","2017-04-14",88,258,162,2017-04-14
"link","2017-04-14",99,22,30,2017-04-14
"link","2017-04-14",246,204,115,2017-04-14
"link","2017-04-13",28,7,17,2017-04-13
"video","2017-04-13",1003,423,487,2017-04-13
"link","2017-04-13",1033,158,157,2017-04-13
"link","2017-04-13",225,159,248,2017-04-13
"photo","2017-04-13",278,90,62,2017-04-13
"link","2017-04-13",985,382,267,2017-04-13
"link","2017-04-12",45,33,50,2017-04-12
"link","2017-04-12",152,137,49,2017-04-12
"link","2017-04-12",121,45,12,2017-04-12
"photo","2017-04-12",54,1,5,2017-04-12
"photo","2017-04-12",397,168,119,2017-04-12
"link","2017-04-12",800,277,0,2017-04-12
"link","2017-04-11",488,301,117,2017-04-11
"link","2017-04-11",308,145,33,2017-04-11
"link","2017-04-11",182,72,33,2017-04-11
"video","2017-04-11",969,1038,1049,2017-04-11
"photo","2017-04-11",208,99,93,2017-04-11
"video","2017-04-10",674,334,153,2017-04-10
"link","2017-04-10",34,49,14,2017-04-10
"photo","2017-04-10",928,243,179,2017-04-10
"link","2017-04-10",3402,652,457,2017-04-10
"link","2017-04-10",749,290,0,2017-04-10
"link","2017-04-10",1824,411,275,2017-04-10
"link","2017-04-09",36,46,22,2017-04-09
"link","2017-04-09",893,277,197,2017-04-09
"link","2017-04-09",119,87,13,2017-04-09
"link","2017-04-08",87,124,15,2017-04-08
"link","2017-04-08",909,359,225,2017-04-08
"link","2017-04-08",26,24,8,2017-04-08
"link","2017-04-08",14,14,13,2017-04-08
"link","2017-04-07",187,288,18,2017-04-07
"link","2017-04-07",28,65,12,2017-04-07
"video","2017-04-07",386,284,307,2017-04-07
"photo","2017-04-07",264,66,59,2017-04-07
"photo","2017-04-07",42,29,10,2017-04-07
"photo","2017-04-07",88,44,65,2017-04-07
"link","2017-04-06",32,57,27,2017-04-06
"video","2017-04-06",457,318,0,2017-04-06
"link","2017-04-06",136,85,11,2017-04-06
"link","2017-04-06",262,93,36,2017-04-06
"link","2017-04-06",45,31,12,2017-04-06
"video","2017-04-06",692,232,142,2017-04-06
"link","2017-04-06",922,249,98,2017-04-06
"photo","2017-04-06",291,60,66,2017-04-06
"photo","2017-04-06",356,497,758,2017-04-06
"link","2017-04-06",253,173,0,2017-04-06
"link","2017-04-05",136,280,24,2017-04-05
"link","2017-04-05",362,397,48,2017-04-05
"video","2017-04-05",369,225,42,2017-04-05
"link","2017-04-05",963,310,491,2017-04-05
"link","2017-04-05",174,171,55,2017-04-05
"link","2017-04-05",250,97,67,2017-04-05
"photo","2017-04-05",292,140,20,2017-04-05
"link","2017-04-05",1211,480,154,2017-04-05
"link","2017-04-05",284,100,0,2017-04-05
"link","2017-04-04",955,501,382,2017-04-04
"link","2017-04-04",149,53,10,2017-04-04
"photo","2017-04-04",220,143,45,2017-04-04
"link","2017-04-04",20,9,18,2017-04-04
"photo","2017-04-04",632,225,197,2017-04-04
"video","2017-04-04",852,253,256,2017-04-04
"link","2017-04-04",687,179,128,2017-04-04
"link","2017-04-03",193,315,27,2017-04-03
"photo","2017-04-03",1651,444,217,2017-04-03
"link","2017-04-03",48,36,49,2017-04-03
"photo","2017-04-03",433,85,134,2017-04-03
"photo","2017-04-03",528,130,272,2017-04-03
"link","2017-04-03",5401,1004,900,2017-04-03
"link","2017-04-03",584,181,0,2017-04-03
"link","2017-04-03",444,136,44,2017-04-03
"link","2017-04-02",1896,581,394,2017-04-02
"photo","2017-04-02",320,182,123,2017-04-02
"link","2017-04-01",174,219,29,2017-04-01
"link","2017-04-01",947,297,150,2017-04-01
"photo","2017-04-01",1371,598,572,2017-04-01
"video","2017-03-31",1280,269,775,2017-03-31
"video","2017-03-31",1405,367,520,2017-03-31
"link","2017-03-31",934,419,124,2017-03-31
"video","2017-03-31",1258,817,0,2017-03-31
"photo","2017-03-31",933,378,122,2017-03-31
"link","2017-03-31",691,281,53,2017-03-31
"video","2017-03-31",1539,520,0,2017-03-31
"link","2017-03-31",605,138,71,2017-03-31
"link","2017-03-31",1563,555,248,2017-03-31
"photo","2017-03-30",2486,1227,0,2017-03-30
"link","2017-03-30",471,177,85,2017-03-30
"photo","2017-03-30",1610,528,227,2017-03-30
"link","2017-03-30",1032,261,234,2017-03-30
"video","2017-03-30",277,128,0,2017-03-30
"video","2017-03-30",863,598,0,2017-03-30
"photo","2017-03-30",434,122,112,2017-03-30
"link","2017-03-29",1382,743,220,2017-03-29
"photo","2017-03-29",265,149,44,2017-03-29
"video","2017-03-29",736,300,331,2017-03-29
"video","2017-03-29",2374,845,1676,2017-03-29
"link","2017-03-29",79,172,38,2017-03-29
"link","2017-03-28",613,489,139,2017-03-28
"link","2017-03-28",2916,1800,731,2017-03-28
"link","2017-03-28",586,241,90,2017-03-28
"photo","2017-03-28",1544,345,267,2017-03-28
"video","2017-03-28",713,307,217,2017-03-28
"video","2017-03-27",1186,603,440,2017-03-27
"link","2017-03-27",58,18,55,2017-03-27
"video","2017-03-27",740,564,156,2017-03-27
"link","2017-03-27",158,117,44,2017-03-27
"photo","2017-03-27",561,164,92,2017-03-27
"link","2017-03-27",333,124,0,2017-03-27
"link","2017-03-26",72,53,48,2017-03-26
"link","2017-03-26",331,303,80,2017-03-26
"video","2017-03-25",531,471,165,2017-03-25
"link","2017-03-25",556,291,109,2017-03-25
"link","2017-03-25",1548,501,538,2017-03-25
"link","2017-03-24",730,376,0,2017-03-24
"photo","2017-03-24",657,317,134,2017-03-24
"photo","2017-03-24",1320,360,317,2017-03-24
"photo","2017-03-24",743,242,224,2017-03-24
"photo","2017-03-23",197,104,52,2017-03-23
"link","2017-03-23",404,262,0,2017-03-23
"video","2017-03-23",775,381,0,2017-03-23
"video","2017-03-23",145,186,0,2017-03-23
"video","2017-03-22",1098,371,1596,2017-03-22
"video","2017-03-22",1439,717,448,2017-03-22
"link","2017-03-22",324,286,78,2017-03-22
"video","2017-03-22",740,420,231,2017-03-22
"link","2017-03-21",131,152,63,2017-03-21
"photo","2017-03-21",1154,599,156,2017-03-21
"photo","2017-03-21",1688,490,150,2017-03-21
"link","2017-03-21",366,196,46,2017-03-21
"video","2017-03-21",742,413,208,2017-03-21
"link","2017-03-21",862,396,0,2017-03-21
"link","2017-03-20",157,108,165,2017-03-20
"photo","2017-03-20",744,165,167,2017-03-20
"video","2017-03-20",592,601,159,2017-03-20
"link","2017-03-20",872,351,0,2017-03-20
"link","2017-03-20",119,74,36,2017-03-20
"video","2017-03-19",1339,658,498,2017-03-19
"link","2017-03-19",644,517,209,2017-03-19
"link","2017-03-19",277,140,81,2017-03-19
"video","2017-03-19",611,487,0,2017-03-19
"link","2017-03-18",648,437,99,2017-03-18
"link","2017-03-18",1405,512,302,2017-03-18
"photo","2017-03-18",2147,784,580,2017-03-18
"video","2017-03-18",442,172,0,2017-03-18
"link","2017-03-18",517,159,139,2017-03-18
"video","2017-03-18",75,58,23,2017-03-18
"video","2017-03-18",263,109,38,2017-03-18
"video","2017-03-18",1786,5877,647,2017-03-18
"photo","2017-03-18",1047,174,263,2017-03-18
"video","2017-03-18",1148,3216,337,2017-03-18
"photo","2017-03-18",1688,490,150,2017-03-18
"link","2017-03-18",110,57,22,2017-03-18
"photo","2017-03-18",80,226,12,2017-03-18
"video","2017-03-18",330,200,37,2017-03-18
"video","2017-03-17",673,345,91,2017-03-17
"video","2017-03-17",2439,973,1268,2017-03-17
"photo","2017-03-17",1688,490,150,2017-03-17
"video","2017-03-17",1009,1460,233,2017-03-17
"video","2017-03-17",370,65,90,2017-03-17
"video","2017-03-17",876,1831,190,2017-03-17
"video","2017-03-17",1082,674,271,2017-03-17
"link","2017-03-17",177,140,17,2017-03-17
"photo","2017-03-17",669,360,115,2017-03-17
"video","2017-03-17",2036,5070,846,2017-03-17
"photo","2017-03-17",74,107,10,2017-03-17
"link","2017-03-17",463,159,53,2017-03-17
"video","2017-03-17",920,426,607,2017-03-17
"link","2017-03-16",410,410,57,2017-03-16
"photo","2017-03-16",2062,818,476,2017-03-16
"link","2017-03-16",1137,419,0,2017-03-16
"photo","2017-03-16",1530,362,212,2017-03-16
"video","2017-03-15",580,290,1,2017-03-15
"video","2017-03-15",1909,595,0,2017-03-15
"video","2017-03-15",5286,836,2108,2017-03-15
"link","2017-03-15",497,178,68,2017-03-15
"photo","2017-03-15",494,187,141,2017-03-15
"video","2017-03-15",1118,472,213,2017-03-15
"photo","2017-03-15",1698,453,268,2017-03-15
"photo","2017-03-14",433,143,78,2017-03-14
"link","2017-03-14",280,334,77,2017-03-14
"photo","2017-03-14",4774,2950,754,2017-03-14
"video","2017-03-14",374,201,147,2017-03-14
"video","2017-03-14",1210,210,0,2017-03-14
"link","2017-03-14",1106,287,212,2017-03-14
"link","2017-03-14",1004,317,95,2017-03-14
"link","2017-03-13",438,299,84,2017-03-13
"link","2017-03-13",626,419,105,2017-03-13
"photo","2017-03-13",1686,571,272,2017-03-13
"link","2017-03-13",5845,2623,941,2017-03-13
"link","2017-03-13",3186,482,0,2017-03-13
"photo","2017-03-13",3958,622,1083,2017-03-13
"video","2017-03-13",5417,773,0,2017-03-13
"video","2017-03-13",417,1009,266,2017-03-13
"link","2017-03-13",1193,334,0,2017-03-13
"link","2017-03-13",622,216,0,2017-03-13
"link","2017-03-12",563,451,113,2017-03-12
"video","2017-03-11",338,345,271,2017-03-11
"link","2017-03-11",903,337,265,2017-03-11
"link","2017-03-10",108,186,38,2017-03-10
"video","2017-03-10",3708,1076,0,2017-03-10
"photo","2017-03-10",342,126,89,2017-03-10
"link","2017-03-09",250,296,124,2017-03-09
"photo","2017-03-09",251,81,61,2017-03-09
"link","2017-03-09",437,301,39,2017-03-09
"photo","2017-03-09",806,207,288,2017-03-09
"video","2017-03-09",788,409,172,2017-03-09
"video","2017-03-09",121,103,0,2017-03-09
"photo","2017-03-09",2081,716,459,2017-03-09
"link","2017-03-09",2220,734,356,2017-03-09
"video","2017-03-08",143,112,16,2017-03-08
"photo","2017-03-08",291,404,203,2017-03-08
"video","2017-03-08",321,127,81,2017-03-08
"video","2017-03-08",197,137,0,2017-03-08
"video","2017-03-08",493,149,218,2017-03-08
"video","2017-03-08",341,230,72,2017-03-08
"link","2017-03-08",193,47,36,2017-03-08
"photo","2017-03-08",144,133,153,2017-03-08
"video","2017-03-07",371,195,130,2017-03-07
"photo","2017-03-07",450,138,130,2017-03-07
"photo","2017-03-07",564,194,227,2017-03-07
"link","2017-03-07",520,215,0,2017-03-07
"photo","2017-03-06",186,63,29,2017-03-06
"link","2017-03-06",337,93,83,2017-03-06
"video","2017-03-06",248,62,0,2017-03-06
"link","2017-03-06",637,431,0,2017-03-06
"video","2017-03-05",221,112,82,2017-03-05
"link","2017-03-05",422,205,152,2017-03-05
"link","2017-03-05",644,108,162,2017-03-05
"link","2017-03-05",548,267,280,2017-03-05
"link","2017-03-04",464,652,223,2017-03-04
"photo","2017-03-04",381,477,624,2017-03-04
"link","2017-03-04",283,192,91,2017-03-04
"link","2017-03-04",726,259,127,2017-03-04
"link","2017-03-03",220,157,59,2017-03-03
"photo","2017-03-03",595,146,170,2017-03-03
"photo","2017-03-03",659,361,423,2017-03-03
"photo","2017-03-03",461,442,185,2017-03-03
"link","2017-03-02",143,230,55,2017-03-02
"photo","2017-03-02",145,266,182,2017-03-02
"link","2017-03-02",222,163,32,2017-03-02
"video","2017-03-02",658,496,345,2017-03-02
"link","2017-03-01",446,162,84,2017-03-01
"video","2017-03-01",589,333,0,2017-03-01
"video","2017-03-01",338,342,273,2017-03-01
"link","2017-02-28",590,410,273,2017-02-28
"link","2017-02-28",594,432,155,2017-02-28
"link","2017-02-28",1274,754,325,2017-02-28
"photo","2017-02-27",860,304,286,2017-02-27
"link","2017-02-27",1039,304,259,2017-02-27
"link","2017-02-27",1550,1047,500,2017-02-27
"video","2017-02-26",756,286,207,2017-02-26
"link","2017-02-26",334,394,44,2017-02-26
"photo","2017-02-25",339,321,107,2017-02-25
"link","2017-02-25",343,110,126,2017-02-25
"link","2017-02-24",321,364,71,2017-02-24
"video","2017-02-24",419,135,180,2017-02-24
"link","2017-02-24",350,253,115,2017-02-24
"link","2017-02-23",238,423,44,2017-02-23
"video","2017-02-23",228,369,91,2017-02-23
"video","2017-02-23",148,191,0,2017-02-23
"photo","2017-02-23",188,173,110,2017-02-23
"link","2017-02-22",279,107,96,2017-02-22
"video","2017-02-22",1271,489,692,2017-02-22
"photo","2017-02-22",443,341,186,2017-02-22
"link","2017-02-22",354,155,75,2017-02-22
"video","2017-02-22",298,132,34,2017-02-22
"photo","2017-02-21",842,621,365,2017-02-21
"link","2017-02-21",1268,149,140,2017-02-21
"video","2017-02-21",457,494,233,2017-02-21
"photo","2017-02-21",217,117,99,2017-02-21
"photo","2017-02-21",286,214,79,2017-02-21
"video","2017-02-20",728,250,292,2017-02-20
"link","2017-02-20",328,262,86,2017-02-20
"link","2017-02-20",853,271,278,2017-02-20
"link","2017-02-20",1061,411,0,2017-02-20
"link","2017-02-19",611,163,127,2017-02-19
"photo","2017-02-19",668,570,228,2017-02-19
"link","2017-02-19",615,468,84,2017-02-19
"photo","2017-02-18",1072,361,312,2017-02-18
"photo","2017-02-18",544,195,173,2017-02-18
"video","2017-02-17",521,392,140,2017-02-17
"photo","2017-02-17",648,314,202,2017-02-17
"photo","2017-02-17",244,130,117,2017-02-17
"video","2017-02-17",1735,623,629,2017-02-17
"link","2017-02-17",828,412,149,2017-02-17
"photo","2017-02-16",913,500,317,2017-02-16
"link","2017-02-16",571,82,95,2017-02-16
"link","2017-02-16",497,159,76,2017-02-16
"photo","2017-02-15",861,528,298,2017-02-15
"link","2017-02-15",324,179,84,2017-02-15
"photo","2017-02-14",340,420,106,2017-02-14
"link","2017-02-14",2202,848,507,2017-02-14
"photo","2017-02-13",421,498,150,2017-02-13
"photo","2017-02-13",444,460,281,2017-02-13
"link","2017-02-13",340,170,69,2017-02-13
"link","2017-02-12",180,440,69,2017-02-12
"photo","2017-02-12",768,341,370,2017-02-12
"link","2017-02-10",229,422,33,2017-02-10
"photo","2017-02-10",437,422,126,2017-02-10
"photo","2017-02-10",926,388,314,2017-02-10
"link","2017-02-09",274,252,38,2017-02-09
"link","2017-02-09",442,558,153,2017-02-09
"video","2017-02-09",214,282,0,2017-02-09
"video","2017-02-08",1729,1147,2,2017-02-08
"photo","2017-02-08",771,586,322,2017-02-08
"video","2017-02-08",1357,848,1047,2017-02-08
"video","2017-02-08",243,254,70,2017-02-08
"video","2017-02-08",575,454,209,2017-02-08
"link","2017-02-08",275,70,48,2017-02-08
"photo","2017-02-08",1659,836,450,2017-02-08
"photo","2017-02-07",125,200,64,2017-02-07
"photo","2017-02-07",1723,867,741,2017-02-07
"photo","2017-02-07",926,307,395,2017-02-07
"photo","2017-02-07",732,410,116,2017-02-07
"video","2017-02-07",440,273,190,2017-02-07
"link","2017-02-06",227,148,56,2017-02-06
"video","2017-02-06",838,354,382,2017-02-06
"link","2017-02-06",175,191,42,2017-02-06
"link","2017-02-06",654,193,0,2017-02-06
"link","2017-02-05",403,248,80,2017-02-05
"link","2017-02-04",585,537,0,2017-02-04
"link","2017-02-04",585,249,159,2017-02-04
"link","2017-02-04",603,316,123,2017-02-04
"photo","2017-02-03",974,508,612,2017-02-03
"video","2017-02-03",2011,343,0,2017-02-03
"link","2017-02-03",508,169,116,2017-02-03
"video","2017-02-02",1642,579,571,2017-02-02
"link","2017-02-02",318,227,125,2017-02-02
"link","2017-02-02",175,138,30,2017-02-02
"link","2017-02-02",315,148,84,2017-02-02
"photo","2017-02-01",1025,910,1336,2017-02-01
"video","2017-02-01",2477,466,0,2017-02-01
"video","2017-02-01",646,1164,407,2017-02-01
"video","2017-02-01",635,324,118,2017-02-01
"photo","2017-02-01",228,123,57,2017-02-01
"photo","2017-02-01",1103,534,210,2017-02-01
"link","2017-02-01",317,56,63,2017-02-01
"video","2017-01-31",3012,845,0,2017-01-31
"video","2017-01-31",645,450,210,2017-01-31
"link","2017-01-31",176,74,35,2017-01-31
"link","2017-01-30",467,282,136,2017-01-30
"photo","2017-01-30",642,253,181,2017-01-30
"link","2017-01-30",1766,501,0,2017-01-30
"link","2017-01-29",230,105,30,2017-01-29
"link","2017-01-29",220,90,47,2017-01-29
"link","2017-01-28",130,147,67,2017-01-28
"link","2017-01-28",388,280,77,2017-01-28
"link","2017-01-27",334,439,50,2017-01-27
"link","2017-01-27",333,197,71,2017-01-27
"link","2017-01-27",360,236,83,2017-01-27
"photo","2017-01-27",1132,288,0,2017-01-27
"link","2017-01-27",1415,538,206,2017-01-27
"link","2017-01-27",355,228,55,2017-01-27
"link","2017-01-27",155,128,20,2017-01-27
"photo","2017-01-26",298,643,196,2017-01-26
"photo","2017-01-26",151,284,42,2017-01-26
"photo","2017-01-26",444,173,127,2017-01-26
"video","2017-01-26",941,325,0,2017-01-26
"photo","2017-01-25",321,494,54,2017-01-25
"link","2017-01-25",521,228,133,2017-01-25
